friday_date,monday_date,drop_rate,open_to_open_net_return,open_to_close_net_return,close_to_open_net_return,close_to_close_net_return
2025-02-28,2025-03-03,-0.03275821236315202,-0.030141765930054465,-0.03554333113702168,-0.001611676433574294,-0.007172138202288569
2025-03-07,2025-03-10,-0.005679597784519319,-0.012678675049433763,-0.026291005643316878,-0.014686674103404185,-0.028271320146914247
2025-03-21,2025-03-24,-0.021892222433502084,-0.024737258132474738,-0.018332010581549762,-0.007473396942832888,-0.0009547652751388247
2025-03-28,2025-03-31,-0.006455000544218992,-0.02945320908801996,-0.03311215289546199,-0.019252466459609208,-0.022949866881838976
2025-04-03,2025-04-07,-0.01520173708163386,-0.09342356684598185,-0.1328593264214507,-0.10181887580184568,-0.14088944235724743
2025-05-16,2025-05-19,-0.0046095866944902975,-0.013930585509221216,-0.006416719620668365,-0.017980900641747954,-0.010497898224128388
2025-05-30,2025-06-02,-0.012030999279096122,-0.022553729197726913,-0.01768110684603441,-0.02046069368952408,-0.015577637442992676
2025-06-06,2025-06-09,-0.004786538706472054,-0.008487630489397824,-5.640340692736334e-05,-0.002277014319746362,0.0062070241212695
2025-06-13,2025-06-16,-0.005942086515524969,-0.016917687202927634,-0.005794231545207085,-0.014150621471069491,-0.002995856804358099
2025-06-27,2025-06-30,-0.0016957583159000755,-0.017112522337031644,-0.025317015494197737,-0.010351709207032544,-0.018612637150806854
2025-07-04,2025-07-07,-0.006392990998156489,-0.012950781993573135,-0.010507666756720213,-0.013585168498662648,-0.01114362347665665
2025-07-25,2025-07-28,-0.010863292403753722,-0.012794852369238607,-0.008790727137276466,-0.007225073360420442,-0.0031983569854530103
2025-08-01,2025-08-04,-0.01071795880540316,-0.022476534005725135,-0.010410735650403624,-0.013042278846611355,-0.0008600312966235979
2025-08-08,2025-08-11,-0.008883415441532927,-0.010837802147644071,-0.012413552555876506,-0.006481054743050496,-0.008063745516084686
2025-08-15,2025-08-18,-0.009767109662317752,-0.011099428361080688,-0.015653878665999765,-0.009063351659061913,-0.013627179256726296
2025-09-26,2025-09-29,-0.013459874650409653,-0.008118365208783174,0.003235987676169172,-0.0026479655003371905,0.008769008615347351
2025-10-03,2025-10-06,-0.00535781069436303,-0.017886810629437866,-0.019565267218649485,-0.0149723775903845,-0.01665581502028879
2025-10-10,2025-10-13,-0.01727943103639351,-0.04319086483942247,-0.03365485616519659,-0.03469031383639598,-0.025069584683318213
2025-10-17,2025-10-20,-0.024775862421469674,-0.008729558332973841,-0.009711116857770374,0.015018114402837845,0.014013040871804883
2025-10-31,2025-11-03,-0.014307480334943001,-0.019920853260523175,-0.013919959237464363,-0.006439357701799708,-0.00035591827780112606
2025-11-07,2025-11-10,-0.009215103466385877,-0.011152470861638841,0.0012332076160248562,-0.00704850636734633,0.005388575772876214
2025-11-14,2025-11-17,-0.018489558515447646,-0.01809308548690447,-0.02022536215541315,-0.014846862297961838,-0.016986188357674625
2025-11-21,2025-11-24,-0.023825709043944654,-0.010268611112070003,-1.736064748192323e-05,-0.0008343673277755315,0.009514599342505203
2025-11-28,2025-12-01,-0.003354632635959587,-0.012456295288069685,-0.009130060152070296,-0.006644969095720321,-0.003299160307156712
2026-01-16,2026-01-19,-0.002921531563574664,-0.02653640697288595,-0.029375476764819886,-0.01747483579211362,-0.02034033331405305
2026-01-30,2026-02-02,-0.020772976345391436,-0.03451152609208419,-0.0459762962676068,-0.020449967483704423,-0.032081712762619174
2026-02-06,2026-02-09,-0.012099241546262518,0.013622046792503673,0.01530011346639859,0.00577526237997561,0.0074403385832491065
2026-02-13,2026-02-16,-0.01721702577767248,-0.015139188253431524,-0.007530452069105076,-0.012431509127273088,-0.004801854234539271
2026-02-20,2026-02-23,-0.010955983939960667,-0.004733649617834845,0.005774221001912716,0.004478847353171167,0.015083982113536898
2026-03-13,2026-03-16,-0.009766399754051469,-0.015674448085920667,-0.0002824312733600287,-0.011115264161893679,0.004348045156965963
2026-03-20,2026-03-23,-0.008755085764363346,-0.031392887148206094,-0.047283045862048456,-0.029095305837093965,-0.04502315674956581
2026-04-02,2026-04-08,-0.007017466371873393,0.010334361082833476,0.01505658690877909,0.01588396047198115,0.02063212470264575
2026-04-17,2026-04-20,-0.008862900099386839,-0.010215276254866179,-0.004305527951268706,-0.008299271492073768,-0.002378083220142768
2026-04-30,2026-05-04,-0.012841322131318833,-0.005025715121963592,-0.006641946216505379,0.003921420365380568,0.002290655590118318
2026-05-08,2026-05-11,-0.008734542170985793,-0.011812341927868397,-0.008207859542366358,-0.01308238607941048,-0.00948253626722162
2026-05-15,2026-05-18,-0.016154760040345773,-0.030684764874000514,-0.03682880685916323,-0.014694647277595396,-0.020940043239565553
2026-06-05,2026-06-08,-0.01154106644518249,-0.03368615499857197,-0.030771424862157115,-0.025008206924789778,-0.02206730115516442
2026-06-18,2026-06-22,-0.01593234031388291,-0.023646614671238853,-0.02541959363751367,-0.01465311853672746,-0.01644242896630188
