friday_date,monday_date,drop_rate,long_open_to_open_net_return,long_open_to_close_net_return,long_close_to_open_net_return,long_close_to_close_net_return,short_open_to_open_net_return,short_open_to_close_net_return,short_close_to_open_net_return,short_close_to_close_net_return
2025-01-24,2025-01-27,-0.0031598808553994218,-0.018531896229071254,-0.00597726032047341,-0.01611270496837669,-0.0035271235146767665,-0.0013136731797510626,-0.01405820901282695,-0.0037694568387477423,-0.016545406295547682
2025-01-31,2025-02-03,-0.007519000506970297,-0.027251207989550164,-0.023872446251125834,-0.016120596652779873,-0.012703173664895484,0.007537525849850457,0.004107657364593287,-0.0037614457856679495,-0.007230560305830469
2025-02-07,2025-02-10,-0.009927463859162211,-0.018062138245384607,-0.01643677948835598,-0.007885080389395949,-0.006242875994011632,-0.0017905366666378653,-0.0034404804062543315,-0.012121531485222103,-0.0137885756683096
2025-02-14,2025-02-18,-0.0036981944808226475,-0.01300961027850367,-0.013619956777582654,-0.009134192945489339,-0.009746935969829784,-0.00691948856857505,-0.0062999100411900155,-0.010853525001674802,-0.01023151369947306
2025-02-21,2025-02-24,-0.016946258548996562,-0.017363063833927717,-0.018084007683933034,-0.008490885018250016,-0.009218338233533463,-0.002500185194214799,-0.001768336433571993,-0.011506563527848845,-0.010768106942045552
2025-03-28,2025-03-31,-0.01692212461247744,-0.030206335304528098,-0.01569447964295656,-0.014769407430554105,-2.6555756819868215e-05,0.010537352067928385,-0.004194008190529064,-0.005133072934817795,-0.02009892322355067
2025-04-04,2025-04-07,-0.055025753008885125,-0.06474402884756081,-0.0626218292836419,-0.021220498885468286,-0.01899953960318912,0.045597458641750244,0.04344315894049178,0.001415596959567722,-0.0008389562877650913
2025-04-17,2025-04-21,-0.013288839277449838,-0.030887129086097254,-0.04921095383006446,-0.01594899264611005,-0.03455526518572949,0.01122844345499141,0.029829432185263016,-0.003935645454063552,0.014952063343509847
2025-05-09,2025-05-12,-0.002878288037107102,0.0018265041270109084,0.014045974689340879,0.005617753517784818,0.017883466678144222,-0.021980012270039317,-0.03438431308581835,-0.02582860764664896,-0.038279850520476444
2025-05-23,2025-05-27,-0.006116223076174321,-0.0022661706526050374,0.009525940153400914,-0.0041217009552516615,0.007648479533981067,-0.017825432180128553,-0.02979590904691065,-0.01594183534756377,-0.02789005018221835
2025-06-13,2025-06-16,-0.01791656162602817,-0.016470265503933046,-0.011472160787633578,-0.007573949943597169,-0.002530635900929279,-0.0034064878852019254,-0.008480193336964259,-0.012437368053013431,-0.017556966662019446
2025-07-11,2025-07-14,-0.006251397568833861,-0.012971311658821705,-0.010445100024352172,-0.010540910007274307,-0.00800847797718618,-0.0069583664886079255,-0.009522789298781253,-0.009425530105491298,-0.011996267400245175
